is_canceled,lead_time,country,market_segment,assigned_room_type,deposit_type,total_of_special_requests,reservation_status_date
1,56,PRT,Groups,A,Non Refund,0,2016-12-07
0,7,ESP,Online TA,D,No Deposit,1,2017-05-02
1,374,PRT,Offline TA/TO,A,Non Refund,0,2015-10-23
1,53,PRT,Groups,A,No Deposit,0,2017-01-11
0,110,FRA,Online TA,A,No Deposit,0,2017-07-12
0,105,ESP,Offline TA/TO,A,No Deposit,0,2015-11-24
0,50,GBR,Online TA,D,No Deposit,1,2017-03-24
1,56,PRT,Groups,A,No Deposit,0,2016-05-02
0,315,FRA,Groups,A,No Deposit,1,2016-09-19
1,59,BRA,Online TA,A,No Deposit,1,2016-05-10
0,1,PRT,Online TA,D,No Deposit,1,2017-08-07
0,3,ESP,Online TA,E,No Deposit,1,2016-04-01
0,0,PRT,Aviation,A,No Deposit,0,2016-02-19
1,125,PRT,Direct,F,No Deposit,0,2016-08-09
0,94,FRA,Online TA,A,No Deposit,1,2016-04-19
1,274,ARG,Online TA,D,No Deposit,0,2016-07-20
0,153,FRA,Online TA,F,No Deposit,0,2016-08-20
0,186,GBR,Offline TA/TO,C,No Deposit,1,2015-09-07
1,231,PRT,Direct,A,No Deposit,1,2015-02-02
0,346,PRT,Offline TA/TO,A,No Deposit,1,2016-09-15
0,131,BGR,Online TA,D,No Deposit,2,2016-07-05
1,318,PRT,Groups,A,Non Refund,0,2015-01-01
0,104,NLD,Online TA,D,No Deposit,1,2016-11-12
0,50,FRA,Offline TA/TO,C,No Deposit,0,2016-08-11
0,17,CHN,Groups,D,No Deposit,0,2017-03-01
0,93,BEL,Online TA,A,No Deposit,1,2017-04-14
0,0,PRT,Offline TA/TO,D,No Deposit,0,2015-10-17
0,26,GBR,Online TA,D,No Deposit,1,2017-01-29
0,0,FRA,Direct,D,No Deposit,0,2017-04-05
0,157,FRA,Direct,A,No Deposit,2,2017-05-05
1,330,PRT,Groups,A,Non Refund,0,2015-10-21
1,42,GBR,Online TA,E,No Deposit,0,2017-02-09
0,124,BEL,Offline TA/TO,A,No Deposit,0,2017-08-25
0,288,FRA,Groups,A,No Deposit,0,2016-05-08
1,94,IRL,Online TA,A,No Deposit,0,2016-03-20
0,63,PRT,Offline TA/TO,A,No Deposit,0,2015-09-06
0,143,CZE,Offline TA/TO,A,No Deposit,0,2016-08-28
1,52,ESP,Online TA,A,No Deposit,1,2016-10-22
1,171,FRA,Online TA,A,No Deposit,0,2017-03-11
0,14,OTHER,Online TA,D,No Deposit,1,2015-07-28
1,140,PRT,Groups,A,No Deposit,0,2015-11-12
1,129,PRT,Groups,D,Non Refund,0,2016-10-21
0,258,FRA,Groups,C,No Deposit,1,2015-09-19
1,160,DNK,Online TA,A,No Deposit,0,2017-03-13
0,24,PRT,Offline TA/TO,A,No Deposit,0,2017-06-10
0,48,SWE,Online TA,G,No Deposit,0,2017-06-27
0,243,POL,Offline TA/TO,C,No Deposit,1,2016-09-26
0,2,PRT,Online TA,G,No Deposit,2,2017-05-09
0,78,DEU,Online TA,A,No Deposit,0,2016-04-05
0,20,PRT,Online TA,E,No Deposit,1,2016-12-05
1,234,PRT,Direct,A,No Deposit,1,2016-03-31
1,173,FRA,Online TA,A,No Deposit,0,2017-07-23
1,168,PRT,Groups,A,Non Refund,0,2016-01-19
0,17,DEU,Online TA,A,No Deposit,0,2017-01-26
0,220,POL,Offline TA/TO,D,No Deposit,0,2016-07-14
0,1,GBR,Direct,F,No Deposit,0,2017-01-03
0,154,GBR,Direct,D,No Deposit,0,2016-12-09
0,286,GBR,Groups,A,No Deposit,0,2015-10-15
0,39,FRA,Offline TA/TO,A,No Deposit,0,2016-11-24
0,178,ROU,Online TA,C,No Deposit,1,2017-07-03
0,79,FRA,Online TA,D,No Deposit,2,2017-07-27
1,178,PRT,Online TA,A,No Deposit,1,2015-08-10
1,41,PRT,Corporate,A,No Deposit,0,2015-10-10
0,24,POL,Online TA,A,No Deposit,0,2016-02-03
1,77,PRT,Online TA,D,No Deposit,0,2016-06-16
0,36,PRT,Offline TA/TO,A,No Deposit,0,2015-10-16
0,44,FRA,Offline TA/TO,B,No Deposit,0,2016-04-26
0,12,IRL,Online TA,A,No Deposit,1,2017-08-03
1,128,NOR,Online TA,D,No Deposit,0,2016-06-08
1,110,ITA,Online TA,A,No Deposit,0,2016-04-26
0,46,GBR,Online TA,D,No Deposit,2,2016-11-06
0,36,IRL,Direct,F,No Deposit,0,2017-05-15
1,276,PRT,Groups,A,No Deposit,0,2015-01-01
0,0,USA,Direct,G,No Deposit,0,2016-12-21
1,78,ITA,Online TA,D,No Deposit,0,2016-03-02
1,323,PRT,Groups,A,Non Refund,0,2015-10-21
0,173,IRL,Online TA,A,No Deposit,1,2016-07-15
1,131,ITA,Online TA,F,No Deposit,0,2016-03-08
1,205,GBR,Online TA,A,No Deposit,0,2016-02-15
1,32,PRT,Online TA,A,No Deposit,0,2016-01-29
0,65,IRL,Online TA,A,No Deposit,1,2017-08-25
0,50,CN,Online TA,A,No Deposit,1,2017-04-14
0,61,FRA,Offline TA/TO,A,No Deposit,0,2015-10-06
1,188,PRT,Offline TA/TO,A,Non Refund,0,2016-01-18
0,93,ESP,Online TA,B,No Deposit,2,2016-10-31
0,0,PRT,Direct,C,No Deposit,0,2015-10-05
0,93,DEU,Groups,A,No Deposit,0,2017-06-27
1,99,CHE,Online TA,A,No Deposit,1,2016-07-25
0,82,PRT,Groups,C,No Deposit,0,2016-02-09
0,101,BEL,Offline TA/TO,D,No Deposit,0,2016-03-15
1,58,PRT,Offline TA/TO,A,No Deposit,0,2016-01-07
0,31,BRA,Online TA,D,No Deposit,1,2017-06-08
1,374,PRT,Groups,A,Non Refund,0,2015-10-21
0,165,CN,Online TA,G,No Deposit,1,2017-07-09
0,0,PRT,Offline TA/TO,E,No Deposit,0,2016-10-27
0,27,ESP,Direct,A,No Deposit,2,2017-07-16
0,22,ESP,Online TA,H,No Deposit,1,2017-08-23
0,34,GBR,Offline TA/TO,A,No Deposit,0,2016-09-21
0,100,FRA,Online TA,C,No Deposit,1,2015-07-06
0,7,FRA,Offline TA/TO,B,No Deposit,1,2016-02-14
0,374,DEU,Offline TA/TO,A,No Deposit,0,2017-07-06
0,0,PRT,Direct,E,No Deposit,0,2016-08-12
1,134,PRT,Groups,A,No Deposit,0,2017-02-25
1,346,PRT,Online TA,A,No Deposit,2,2015-10-21
0,177,IRL,Online TA,E,No Deposit,2,2016-06-17
1,271,PRT,Offline TA/TO,E,No Deposit,1,2017-03-31
1,155,PRT,Online TA,D,No Deposit,1,2017-01-24
0,175,ITA,Online TA,A,No Deposit,1,2017-05-29
1,275,PRT,Offline TA/TO,A,Non Refund,0,2016-06-20
0,5,FRA,Direct,A,No Deposit,0,2016-04-09
1,59,PRT,Direct,H,No Deposit,0,2017-08-03
0,26,AUS,Online TA,A,No Deposit,2,2017-04-28
0,1,CHE,Online TA,A,No Deposit,0,2017-02-24
1,286,PRT,Groups,A,Non Refund,0,2016-09-20
0,102,PRT,Offline TA/TO,A,No Deposit,0,2016-07-12
1,16,PRT,Online TA,G,No Deposit,0,2015-10-10
1,90,USA,Online TA,A,No Deposit,0,2016-03-31
0,7,PRT,Corporate,C,No Deposit,0,2016-06-16
0,237,GBR,Offline TA/TO,C,No Deposit,1,2017-05-09
0,43,FRA,Online TA,A,No Deposit,1,2016-08-09
0,1,RUS,Online TA,C,No Deposit,0,2017-02-27
0,22,PRT,Direct,F,No Deposit,0,2015-07-23
1,175,NLD,Online TA,A,No Deposit,0,2016-10-09
0,219,ITA,Groups,A,No Deposit,0,2016-08-22
0,120,USA,Direct,E,No Deposit,2,2017-08-25
0,301,DEU,Offline TA/TO,A,No Deposit,1,2016-08-01
0,98,RUS,Online TA,A,No Deposit,1,2016-07-18
0,3,PRT,Online TA,D,No Deposit,0,2016-05-20
0,99,NLD,Groups,I,No Deposit,0,2016-05-06
0,1,ITA,Online TA,F,No Deposit,0,2016-01-03
0,29,GBR,Offline TA/TO,D,No Deposit,0,2015-10-30
0,1,PRT,Corporate,D,No Deposit,0,2016-01-13
1,109,CN,Online TA,A,No Deposit,2,2017-03-13
0,90,PRT,Online TA,A,No Deposit,2,2015-12-01
0,17,ESP,Direct,F,No Deposit,1,2015-07-05
0,46,NLD,Offline TA/TO,A,No Deposit,0,2016-10-20
0,1,PRT,Online TA,A,No Deposit,1,2017-06-12
0,12,BEL,Online TA,A,No Deposit,1,2017-04-24
1,147,PRT,Online TA,A,No Deposit,2,2015-08-05
1,283,PRT,Corporate,E,Non Refund,0,2016-08-29
1,140,ESP,Online TA,D,No Deposit,0,2016-04-17
0,43,PRT,Offline TA/TO,A,No Deposit,1,2017-04-28
0,219,ITA,Online TA,A,No Deposit,0,2017-08-29
1,374,PRT,Offline TA/TO,A,Non Refund,0,2017-06-30
0,1,PRT,Direct,A,No Deposit,0,2016-02-21
1,75,POL,Online TA,A,No Deposit,0,2016-04-02
0,143,GBR,Offline TA/TO,E,No Deposit,2,2016-06-11
0,48,PRT,Online TA,D,No Deposit,2,2017-02-27
0,41,GBR,Online TA,A,No Deposit,0,2016-03-15
0,208,FRA,Groups,A,No Deposit,1,2017-08-03
1,210,PRT,Online TA,A,No Deposit,2,2015-06-20
0,0,ESP,Online TA,D,No Deposit,1,2016-02-11
0,191,PRT,Online TA,A,No Deposit,0,2016-11-12
1,36,DEU,Online TA,A,No Deposit,0,2016-09-25
0,90,ESP,Offline TA/TO,D,No Deposit,0,2015-09-11
1,110,NOR,Online TA,A,No Deposit,0,2017-01-06
1,59,PRT,Online TA,A,No Deposit,1,2017-05-03
0,14,IRL,Direct,A,No Deposit,2,2017-07-20
0,1,PRT,Online TA,D,No Deposit,1,2016-03-29
1,13,PRT,Online TA,D,No Deposit,2,2016-01-22
0,247,DEU,Offline TA/TO,A,No Deposit,0,2016-06-08
0,0,PRT,Online TA,D,No Deposit,0,2015-11-25
0,25,USA,Online TA,D,No Deposit,1,2017-05-24
0,69,PRT,Offline TA/TO,F,No Deposit,0,2016-02-01
1,27,PRT,Offline TA/TO,A,Non Refund,0,2015-09-24
1,223,PRT,Groups,A,Non Refund,0,2015-12-14
0,225,DEU,Groups,E,No Deposit,0,2016-05-30
0,296,ITA,Offline TA/TO,D,No Deposit,0,2016-09-25
1,93,GBR,Online TA,D,No Deposit,1,2016-07-24
1,13,PRT,Corporate,A,No Deposit,0,2017-05-30
0,77,PRT,Direct,A,No Deposit,2,2015-10-11
0,356,GBR,Offline TA/TO,E,No Deposit,0,2016-07-19
0,32,PRT,Offline TA/TO,A,No Deposit,0,2015-11-22
0,35,FRA,Online TA,A,No Deposit,2,2016-12-28
0,60,GBR,Offline TA/TO,D,No Deposit,0,2016-05-22
0,38,ESP,Online TA,A,No Deposit,1,2016-12-06
0,53,GBR,Direct,A,No Deposit,1,2017-06-19
0,3,PRT,Offline TA/TO,A,No Deposit,0,2016-03-03
0,102,FRA,Offline TA/TO,A,No Deposit,0,2016-05-19
0,142,GBR,Offline TA/TO,D,No Deposit,0,2016-06-19
0,57,PRT,Groups,C,No Deposit,0,2015-07-17
0,204,OTHER,Offline TA/TO,A,No Deposit,0,2017-05-30
0,47,FRA,Offline TA/TO,A,No Deposit,0,2016-10-20
0,214,IRL,Offline TA/TO,A,No Deposit,0,2017-03-29
0,42,DEU,Offline TA/TO,A,No Deposit,0,2015-09-22
0,74,PRT,Offline TA/TO,B,No Deposit,0,2015-09-20
0,29,FRA,Online TA,E,No Deposit,2,2016-11-06
1,374,PRT,Groups,A,Non Refund,0,2015-10-21
1,85,PRT,Groups,A,No Deposit,0,2016-01-18
0,0,PRT,Direct,A,No Deposit,0,2017-08-10
1,28,PRT,Online TA,D,No Deposit,0,2015-12-12
0,256,DEU,Offline TA/TO,A,No Deposit,1,2016-06-17
0,23,PRT,Direct,E,No Deposit,2,2016-03-28
0,7,COL,Offline TA/TO,A,No Deposit,0,2016-03-22
1,12,FRA,Online TA,A,No Deposit,2,2016-08-02
0,82,FRA,Direct,D,No Deposit,2,2016-11-20
1,11,PRT,Corporate,A,Non Refund,0,2015-08-13
0,2,ESP,Online TA,A,No Deposit,0,2016-01-05
0,73,DEU,Offline TA/TO,D,No Deposit,0,2016-10-29
0,43,CN,Direct,E,No Deposit,0,2017-07-28
1,302,PRT,Groups,A,No Deposit,0,2015-07-06
0,185,GBR,Offline TA/TO,A,No Deposit,0,2015-09-29
0,12,PRT,Direct,F,No Deposit,1,2016-02-09
1,40,DEU,Online TA,A,No Deposit,0,2016-07-28
0,154,GBR,Offline TA/TO,A,No Deposit,0,2016-03-26
1,34,PRT,Online TA,A,No Deposit,0,2015-09-12
0,3,OTHER,Online TA,A,No Deposit,2,2017-03-01
0,7,DEU,Online TA,A,No Deposit,1,2017-07-27
0,166,GBR,Offline TA/TO,E,No Deposit,1,2016-07-07
0,21,POL,Groups,A,No Deposit,0,2016-12-02
0,10,PRT,Direct,F,No Deposit,0,2016-09-12
1,89,PRT,Online TA,D,No Deposit,0,2017-04-09
0,0,PRT,Direct,A,No Deposit,0,2016-11-24
0,14,PRT,Online TA,B,No Deposit,0,2016-01-24
0,12,ESP,Online TA,D,No Deposit,1,2016-08-16
0,193,FRA,Online TA,A,No Deposit,1,2016-07-16
1,89,PRT,Groups,A,Non Refund,0,2015-09-09
1,22,PRT,Groups,A,Non Refund,0,2015-07-02
0,22,PRT,Groups,A,No Deposit,0,2017-02-25
0,101,CHE,Online TA,B,No Deposit,1,2016-04-18
0,162,FRA,Direct,A,No Deposit,2,2017-07-02
0,22,PRT,Online TA,D,No Deposit,2,2016-01-21
0,4,PRT,Online TA,D,No Deposit,2,2016-12-11
1,101,DEU,Online TA,A,No Deposit,2,2017-02-28
0,22,CN,Online TA,A,No Deposit,1,2017-08-08
1,183,PRT,Groups,A,Non Refund,0,2016-10-26
1,75,USA,Online TA,A,No Deposit,1,2016-11-03
0,4,BRA,Direct,A,No Deposit,1,2016-01-17
0,16,ESP,Groups,A,No Deposit,0,2015-08-12
1,127,PRT,Online TA,D,No Deposit,1,2016-08-23
0,3,PRT,Corporate,A,No Deposit,0,2017-06-02
1,90,FRA,Online TA,A,No Deposit,0,2016-09-27
1,51,GBR,Online TA,A,No Deposit,1,2017-05-23
0,137,NLD,Online TA,F,No Deposit,1,2017-03-24
1,43,PRT,Online TA,A,No Deposit,0,2015-06-27
0,61,NOR,Online TA,A,No Deposit,0,2017-07-12
1,313,PRT,Offline TA/TO,A,Non Refund,0,2017-02-23
0,0,PRT,Offline TA/TO,D,No Deposit,0,2017-04-16
0,24,ESP,Online TA,E,No Deposit,2,2017-01-29
0,52,PRT,Online TA,C,No Deposit,0,2017-07-09
0,181,PRT,Groups,A,No Deposit,1,2017-03-26
1,122,NLD,Online TA,A,No Deposit,2,2016-09-14
1,82,PRT,Groups,A,No Deposit,0,2016-02-03
1,280,DEU,Online TA,A,No Deposit,1,2016-08-18
1,28,PRT,Groups,A,Non Refund,0,2017-02-02
1,374,PRT,Groups,A,Non Refund,0,2015-10-21
0,9,GBR,Groups,A,Refundable,0,2016-05-16
0,146,DEU,Online TA,A,No Deposit,0,2017-06-22
1,275,PRT,Offline TA/TO,A,Non Refund,0,2015-01-30
0,0,DEU,Offline TA/TO,A,No Deposit,0,2015-09-19
0,6,PRT,Online TA,A,No Deposit,0,2017-01-25
1,29,PRT,Direct,A,No Deposit,0,2017-08-21
0,121,IRL,Online TA,D,No Deposit,1,2016-08-19
1,300,PRT,Groups,A,Non Refund,0,2015-01-01
0,5,PRT,Online TA,E,No Deposit,2,2015-09-21
0,75,ESP,Online TA,D,No Deposit,1,2017-05-01
0,18,ITA,Online TA,A,No Deposit,2,2017-01-29
1,32,RUS,Online TA,A,No Deposit,1,2016-12-22
0,16,FRA,Online TA,D,No Deposit,2,2017-02-15
0,0,PRT,Complementary,A,No Deposit,0,2016-06-16
1,114,ITA,Online TA,A,No Deposit,0,2016-01-28
0,117,GBR,Offline TA/TO,D,No Deposit,0,2016-05-26
0,61,USA,Direct,F,No Deposit,2,2016-04-19
1,11,PRT,Corporate,A,Non Refund,0,2015-08-13
0,37,GBR,Online TA,A,No Deposit,0,2015-09-24
1,44,GBR,Online TA,A,No Deposit,0,2016-04-09
0,0,CN,Direct,E,No Deposit,0,2017-05-06
1,316,PRT,Groups,A,Non Refund,0,2015-10-22
0,38,USA,Online TA,A,No Deposit,1,2016-04-20
0,14,AUS,Online TA,A,No Deposit,2,2017-08-09
0,16,CN,Online TA,A,No Deposit,1,2017-08-12
1,34,PRT,Online TA,E,No Deposit,2,2017-07-27
1,295,PRT,Groups,A,No Deposit,0,2015-07-06
1,240,ITA,Online TA,A,No Deposit,1,2017-03-27
0,65,POL,Direct,A,No Deposit,0,2016-11-14
0,256,DEU,Offline TA/TO,A,No Deposit,1,2016-06-17
1,101,PRT,Groups,A,Non Refund,0,2016-04-12
1,265,DNK,Online TA,A,No Deposit,0,2016-10-02
0,112,IRL,Direct,D,No Deposit,1,2017-05-17
1,29,POL,Online TA,E,No Deposit,1,2017-04-06
0,79,IRL,Direct,F,No Deposit,0,2017-06-02
0,44,GBR,Online TA,A,No Deposit,2,2016-11-17
0,282,FRA,Groups,A,No Deposit,1,2016-06-12
0,41,ESP,Online TA,C,No Deposit,1,2015-07-26
0,42,PRT,Direct,D,No Deposit,0,2016-01-03
0,4,PRT,Online TA,A,No Deposit,0,2016-06-02
0,0,ESP,Online TA,A,No Deposit,1,2016-04-18
1,110,ITA,Offline TA/TO,A,No Deposit,0,2015-07-22
0,98,FRA,Groups,D,No Deposit,0,2015-11-26
0,32,GBR,Offline TA/TO,E,No Deposit,2,2016-04-11
1,108,PRT,Offline TA/TO,A,Non Refund,0,2015-12-29
0,0,FRA,Direct,A,No Deposit,1,2017-05-16
0,30,ITA,Direct,A,No Deposit,2,2016-05-23
1,112,PRT,Offline TA/TO,A,Non Refund,0,2017-01-20
1,26,PRT,Offline TA/TO,A,No Deposit,0,2016-06-02
0,198,GBR,Online TA,B,No Deposit,0,2016-07-18
1,313,PRT,Groups,A,Non Refund,0,2015-07-02
1,61,PRT,Groups,A,Non Refund,0,2016-11-25
0,170,FRA,Online TA,D,No Deposit,1,2017-07-02
0,13,PRT,Direct,A,No Deposit,0,2017-06-22
0,90,ESP,Online TA,A,No Deposit,0,2016-08-08
0,75,GBR,Offline TA/TO,A,No Deposit,1,2017-05-18
1,274,DEU,Online TA,A,No Deposit,0,2016-09-13
0,172,CHE,Direct,A,No Deposit,2,2017-08-04
0,21,CN,Online TA,A,No Deposit,2,2016-09-13
1,279,PRT,Offline TA/TO,A,Non Refund,0,2016-05-05
0,247,DEU,Offline TA/TO,A,No Deposit,0,2016-06-08
0,76,OTHER,Online TA,A,No Deposit,1,2016-11-11
0,0,BEL,Online TA,A,No Deposit,0,2016-10-18
0,1,ARG,Direct,A,No Deposit,1,2017-05-14
1,230,PRT,Online TA,E,No Deposit,0,2016-03-08
1,110,USA,Online TA,D,No Deposit,2,2017-03-17
0,4,NLD,Online TA,A,No Deposit,0,2017-07-03
1,87,ESP,Online TA,D,No Deposit,0,2016-07-23
1,22,CHN,Online TA,A,No Deposit,0,2017-02-21
0,149,DEU,Offline TA/TO,A,No Deposit,0,2016-09-01
0,183,ESP,Groups,A,No Deposit,0,2016-04-18
0,27,FRA,Offline TA/TO,D,No Deposit,0,2017-02-15
1,143,PRT,Groups,A,Non Refund,0,2015-07-08
1,139,PRT,Online TA,E,No Deposit,1,2016-04-23
0,0,AUS,Online TA,A,No Deposit,0,2015-09-05
0,7,PRT,Corporate,A,Non Refund,0,2015-10-16
1,101,PRT,Groups,A,Non Refund,0,2016-05-06
0,101,IRL,Offline TA/TO,A,No Deposit,1,2016-04-30
1,74,PRT,Direct,C,No Deposit,0,2015-07-15
0,13,PRT,Offline TA/TO,D,No Deposit,0,2017-01-26
1,259,GBR,Groups,A,Non Refund,0,2015-01-21
0,2,FRA,Online TA,D,No Deposit,1,2017-08-20
0,3,PRT,Online TA,E,No Deposit,2,2016-04-25
0,125,NLD,Online TA,A,No Deposit,0,2017-06-07
0,66,FRA,Offline TA/TO,A,No Deposit,0,2016-06-22
1,59,PRT,Groups,A,Non Refund,0,2016-11-25
1,296,OTHER,Online TA,F,No Deposit,0,2017-04-30
0,32,PRT,Offline TA/TO,A,No Deposit,0,2015-11-22
0,173,GBR,Online TA,A,No Deposit,1,2016-10-24
1,315,ITA,Online TA,A,No Deposit,2,2016-11-24
0,12,RUS,Corporate,A,No Deposit,0,2015-08-08
0,256,CHE,Online TA,A,No Deposit,2,2016-10-23
0,26,CHL,Offline TA/TO,A,No Deposit,0,2017-05-19
0,75,FRA,Online TA,A,No Deposit,2,2016-12-28
0,46,GBR,Offline TA/TO,A,No Deposit,0,2015-11-21
0,100,DEU,Online TA,A,No Deposit,1,2015-08-02
0,53,USA,Online TA,A,No Deposit,1,2017-07-11
1,23,PRT,Online TA,D,No Deposit,1,2015-11-13
0,64,DEU,Online TA,A,No Deposit,1,2016-04-20
0,70,ESP,Direct,D,No Deposit,0,2016-03-27
1,168,PRT,Offline TA/TO,A,Non Refund,0,2016-01-22
0,33,PRT,Groups,D,No Deposit,0,2015-08-13
0,296,ITA,Offline TA/TO,A,No Deposit,1,2016-09-25
0,9,FRA,Online TA,A,No Deposit,1,2016-11-01
1,10,ITA,Online TA,A,No Deposit,0,2016-03-04
0,194,PRT,Online TA,D,No Deposit,0,2016-08-15
0,37,PRT,Online TA,A,No Deposit,0,2015-10-31
1,86,PRT,Groups,A,No Deposit,0,2015-09-28
0,5,ESP,Online TA,A,No Deposit,1,2016-03-31
0,17,PRT,Direct,E,No Deposit,2,2017-02-16
1,92,PRT,Groups,A,Non Refund,0,2015-12-10
0,11,FRA,Offline TA/TO,E,No Deposit,0,2016-01-01
1,304,PRT,Offline TA/TO,A,Non Refund,0,2016-02-01
0,301,DEU,Offline TA/TO,A,No Deposit,1,2016-08-01
0,21,GBR,Offline TA/TO,E,No Deposit,2,2017-09-07
1,25,PRT,Groups,A,No Deposit,0,2015-07-22
1,97,PRT,Groups,A,Non Refund,0,2015-12-23
1,166,PRT,Offline TA/TO,A,Non Refund,0,2016-07-13
0,149,SWE,Offline TA/TO,A,No Deposit,1,2017-08-10
0,16,FRA,Offline TA/TO,D,No Deposit,0,2016-02-28
0,98,FRA,Online TA,A,No Deposit,1,2017-04-29
0,35,BEL,Groups,D,No Deposit,0,2016-12-01
0,80,GBR,Offline TA/TO,A,No Deposit,0,2017-02-12
0,51,PRT,Online TA,D,No Deposit,2,2015-08-14
0,30,PRT,Online TA,A,No Deposit,1,2016-08-31
1,27,PRT,Offline TA/TO,A,Non Refund,0,2015-09-24
0,60,IRL,Online TA,A,No Deposit,1,2017-02-05
1,14,PRT,Online TA,A,No Deposit,1,2016-12-21
0,91,GBR,Direct,D,No Deposit,0,2017-03-28
1,40,PRT,Groups,A,No Deposit,0,2016-04-13
0,16,FRA,Online TA,A,No Deposit,2,2017-08-29
0,327,IRL,Groups,C,No Deposit,0,2016-09-18
0,0,GBR,Groups,I,No Deposit,0,2016-05-30
0,320,DEU,Offline TA/TO,A,No Deposit,1,2016-08-20
1,166,PRT,Offline TA/TO,A,Non Refund,0,2016-07-13
0,39,DEU,Offline TA/TO,D,No Deposit,0,2015-08-16
0,40,ROU,Online TA,A,No Deposit,1,2017-06-18
0,47,PRT,Direct,B,No Deposit,0,2015-12-23
0,1,PRT,Complementary,A,No Deposit,2,2017-07-13
1,47,BEL,Online TA,A,No Deposit,2,2017-07-14
1,54,GBR,Direct,A,No Deposit,0,2016-08-31
1,74,PRT,Corporate,A,No Deposit,0,2017-02-01
1,263,GBR,Online TA,E,No Deposit,0,2017-04-21
1,74,PRT,Online TA,D,No Deposit,0,2016-04-30
0,16,IND,Online TA,A,No Deposit,2,2015-09-25
1,47,ESP,Online TA,A,No Deposit,1,2016-09-05
0,33,PRT,Offline TA/TO,E,No Deposit,1,2015-08-01
1,240,PRT,Direct,A,No Deposit,0,2016-01-21
0,19,IND,Online TA,A,No Deposit,1,2017-01-26
1,92,PRT,Groups,A,Non Refund,0,2015-08-21
0,7,DEU,Online TA,D,No Deposit,1,2016-02-20
0,17,PRT,Direct,F,No Deposit,0,2016-11-06
1,22,PRT,Direct,C,No Deposit,2,2015-08-05
0,192,PRT,Offline TA/TO,A,No Deposit,0,2015-09-30
0,68,ESP,Offline TA/TO,D,No Deposit,0,2016-12-06
0,151,USA,Online TA,G,No Deposit,0,2016-08-11
1,133,PRT,Offline TA/TO,A,No Deposit,0,2016-12-29
0,57,FRA,Online TA,G,No Deposit,0,2016-06-17
1,374,PRT,Offline TA/TO,A,Non Refund,0,2015-10-20
0,191,PRT,Offline TA/TO,A,No Deposit,0,2016-04-25
0,2,ESP,Aviation,B,No Deposit,0,2016-10-31
0,58,DEU,Offline TA/TO,D,No Deposit,1,2016-09-12
0,80,CN,Online TA,A,No Deposit,1,2016-07-20
0,9,PRT,Corporate,A,No Deposit,0,2015-12-11
1,233,FRA,Online TA,A,No Deposit,0,2016-10-06
0,45,PRT,Complementary,D,No Deposit,0,2016-11-29
0,5,FRA,Online TA,A,No Deposit,1,2016-03-18
0,280,GBR,Online TA,A,No Deposit,2,2017-07-24
0,31,ARG,Online TA,C,No Deposit,0,2016-11-04
0,259,IRL,Online TA,A,No Deposit,1,2017-08-07
0,55,ESP,Groups,A,No Deposit,0,2015-08-28
1,55,PRT,Online TA,D,No Deposit,0,2015-11-16
0,0,PRT,Direct,A,No Deposit,0,2016-01-24
0,113,ITA,Online TA,A,No Deposit,1,2016-07-28
1,238,PRT,Online TA,E,No Deposit,0,2015-06-02
0,155,BEL,Online TA,A,No Deposit,1,2016-08-03
1,104,PRT,Groups,A,Non Refund,0,2017-01-31
0,18,ESP,Online TA,D,No Deposit,1,2017-02-27
0,0,FRA,Direct,B,No Deposit,0,2015-08-09
0,125,FRA,Online TA,D,No Deposit,0,2017-06-27
0,172,BRA,Offline TA/TO,A,No Deposit,1,2016-04-26
1,165,PRT,Groups,A,No Deposit,0,2015-12-21
0,17,AUT,Online TA,D,No Deposit,0,2015-09-04
1,178,ITA,Online TA,B,No Deposit,1,2016-02-27
0,45,FRA,Online TA,E,No Deposit,2,2015-11-22
1,22,ESP,Online TA,A,No Deposit,0,2016-12-19
1,299,PRT,Groups,A,Non Refund,0,2015-07-02
1,120,FRA,Online TA,A,No Deposit,1,2017-03-09
1,223,PRT,Online TA,D,No Deposit,1,2016-01-28
1,91,PRT,Groups,A,Non Refund,0,2016-02-03
0,6,NLD,Online TA,D,No Deposit,1,2017-04-30
0,97,BEL,Offline TA/TO,D,No Deposit,1,2016-03-14
0,14,ITA,Offline TA/TO,A,No Deposit,0,2015-10-16
1,52,PRT,Offline TA/TO,A,Non Refund,0,2017-01-20
0,287,DEU,Direct,A,No Deposit,1,2016-08-29
1,121,FRA,Online TA,D,No Deposit,0,2016-12-15
1,7,CN,Online TA,E,No Deposit,1,2017-05-24
1,72,PRT,Groups,D,No Deposit,0,2016-01-19
0,129,ESP,Online TA,C,No Deposit,2,2016-08-13
0,4,ESP,Groups,A,No Deposit,0,2015-11-29
0,47,OTHER,Direct,A,No Deposit,1,2016-11-16
0,110,SWE,Offline TA/TO,A,No Deposit,0,2016-10-10
0,257,IRL,Offline TA/TO,A,No Deposit,0,2015-09-20
1,8,PRT,Online TA,A,No Deposit,1,2016-12-09
0,51,PRT,Offline TA/TO,A,No Deposit,0,2017-06-16
0,4,RUS,Online TA,A,No Deposit,0,2016-02-07
0,5,PRT,Corporate,A,No Deposit,0,2016-05-13
0,153,PRT,Groups,A,No Deposit,0,2015-11-03
0,70,IRL,Offline TA/TO,E,No Deposit,0,2015-09-29
