hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,55,2015,November,47,18,0.0,4,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28.0,0,Transient,60.0,0,1,Check-Out,11/22/2015
City Hotel,1,286,2015,July,31,30,0.0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Contract,62.0,0,0,Canceled,1/1/2015
City Hotel,0,141,2016,September,39,23,0.0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,163.8,0,1,Check-Out,9/25/2016
Resort Hotel,0,26,2015,September,36,1,0.0,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,146.0,0,2,Check-Out,9/3/2015
City Hotel,0,5,2015,August,34,19,0.0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,67.0,0,1,Check-Out,8/21/2015
City Hotel,0,19,2017,January,1,2,1.0,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,96.9,0,2,Check-Out,1/6/2017
City Hotel,1,67,2017,July,31,30,4.0,5,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83.0,0,Transient,103.68,0,0,Canceled,7/23/2017
City Hotel,0,28,2017,June,23,9,1.0,2,2,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20.0,0,Transient,181.0,0,0,Check-Out,6/12/2017
City Hotel,0,57,2017,February,6,5,2.0,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,51.05,0,1,Check-Out,2/9/2017
City Hotel,0,88,2017,May,20,15,1.0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,94.5,0,2,Check-Out,5/19/2017
City Hotel,0,353,2017,May,21,24,0.0,3,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,94.5,0,1,Check-Out,5/27/2017
Resort Hotel,1,42,2016,November,45,2,0.0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,55.8,0,2,Canceled,10/1/2016
Resort Hotel,0,3,2017,February,7,18,0.0,1,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,366.5,0,Transient,42.0,0,0,Check-Out,2/19/2017
Resort Hotel,1,24,2016,June,24,8,0.0,3,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,122.33,0,0,Canceled,5/21/2016
City Hotel,1,198,2016,September,37,9,1.0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,0,Transient,120.0,0,0,Canceled,3/15/2016
City Hotel,1,261,2015,October,42,16,0.0,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,0,Transient-Party,120.0,0,0,Canceled,7/8/2015
City Hotel,1,374,2017,August,33,15,0.0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,0,Transient,90.0,0,0,Canceled,8/4/2017
Resort Hotel,0,96,2017,April,15,9,2.0,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0,Contract,41.2,0,0,Check-Out,4/16/2017
Resort Hotel,1,63,2016,March,13,24,1.0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,74.0,0,2,Canceled,3/1/2016
Resort Hotel,0,203,2017,April,17,25,0.0,2,2,0,0,HB,AUT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,366.5,0,Transient-Party,90.0,0,0,Check-Out,4/27/2017
City Hotel,0,74,2016,December,52,24,2.0,3,2,0,0,HB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,0,Transient,94.5,0,0,Check-Out,12/29/2016
City Hotel,1,374,2017,May,20,17,0.0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229.0,0,Transient-Party,90.0,0,0,Canceled,3/25/2017
City Hotel,1,45,2016,December,51,12,1.0,3,2,0,0,BB,TMP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,96.9,0,2,Canceled,11/24/2016
City Hotel,0,3,2016,February,10,29,1.0,3,2,0,0,BB,MAR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,0,Transient,183.0,0,1,Check-Out,3/4/2016
Resort Hotel,1,181,2016,October,43,16,2.0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,11.0,0,Transient,37.0,0,0,Canceled,7/18/2016
City Hotel,0,13,2016,May,22,28,0.0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,9.0,0,Transient,156.0,0,2,Check-Out,5/29/2016
City Hotel,1,25,2017,May,20,20,2.0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229.0,0,Transient-Party,90.0,0,0,Canceled,4/25/2017
City Hotel,1,305,2016,October,40,1,1.0,1,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,35.0,0,Transient,100.0,0,0,Canceled,12/18/2015
City Hotel,0,87,2016,June,24,9,0.0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,97.71,0,0,Check-Out,6/12/2016
Resort Hotel,0,87,2016,February,7,9,1.0,5,2,0,0,HB,MUS,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,98.0,0,2,Check-Out,2/15/2016
City Hotel,0,0,2015,September,37,10,0.0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14.0,0,Transient,90.0,0,0,Check-Out,9/11/2015
Resort Hotel,0,14,2017,August,34,24,2.0,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Group,135.0,0,0,Check-Out,8/31/2017
City Hotel,0,198,2017,July,29,20,0.0,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,94.5,0,0,Check-Out,7/23/2017
City Hotel,1,33,2015,December,50,9,0.0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44.0,0,Transient,94.5,0,0,Canceled,11/16/2015
City Hotel,0,28,2017,January,4,24,0.0,5,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,67.58,0,1,Check-Out,1/29/2017
Resort Hotel,0,0,2016,March,14,30,0.0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,F,0,No Deposit,14.0,0,Transient,82.35,0,1,Check-Out,4/1/2016
City Hotel,1,290,2016,December,49,1,1.0,3,2,0,0,BB,SVK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,73.95,0,0,Canceled,10/27/2016
Resort Hotel,0,171,2017,August,31,1,2.0,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,191.11,0,2,Check-Out,8/10/2017
City Hotel,0,221,2017,May,19,11,1.0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,138.6,0,1,Check-Out,5/15/2017
Resort Hotel,0,24,2016,May,19,7,2.0,5,2,0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,15.0,0,Transient-Party,94.5,0,0,Check-Out,5/14/2016
City Hotel,1,9,2016,June,27,27,1.0,3,2,0,0,HB,NOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,194.0,0,2,Canceled,6/20/2016
Resort Hotel,0,0,2017,April,17,24,1.0,0,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,126.0,0,0,Check-Out,4/25/2017
City Hotel,0,247,2016,June,24,6,1.0,1,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,115.0,0,1,Check-Out,6/8/2016
City Hotel,0,30,2017,August,33,17,0.0,3,2,0,0,BB,FRA,Direct,Direct,0,0,0,B,A,0,No Deposit,14.0,0,Transient-Party,138.02,0,2,Check-Out,8/20/2017
City Hotel,0,12,2015,August,32,5,0.0,3,2,0,0,BB,RUS,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14.0,0,Transient-Party,65.0,0,0,Check-Out,8/8/2015
City Hotel,0,2,2016,June,23,2,0.0,2,2,0,0,BB,PRT,Online TA,Corporate,0,0,0,A,E,0,No Deposit,14.0,0,Transient,120.0,0,0,Check-Out,6/4/2016
City Hotel,0,8,2017,April,15,10,1.0,1,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,0,Transient,140.0,0,1,Check-Out,4/12/2017
Resort Hotel,1,208,2016,August,36,28,2.0,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,0,Transient,122.86,0,1,Canceled,8/16/2016
Resort Hotel,0,0,2016,August,35,22,0.0,0,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,I,0,No Deposit,240.0,0,Transient,0.0,0,1,Check-Out,8/22/2016
City Hotel,0,5,2016,April,15,4,1.0,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,95.0,0,1,Check-Out,4/6/2016
Resort Hotel,0,0,2015,November,45,1,1.0,0,2,0,0,FB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,6.0,0,Group,81.9,0,0,Check-Out,11/2/2015
Resort Hotel,0,80,2017,April,17,24,1.0,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,152.0,0,2,Check-Out,4/26/2017
City Hotel,0,18,2016,April,14,2,0.0,1,2,0,0,SC,BGR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,129.0,0,1,Check-Out,4/3/2016
Resort Hotel,1,6,2016,January,2,8,0.0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,96.0,0,0,Canceled,1/4/2016
City Hotel,0,265,2017,July,29,17,1.0,3,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,120.6,0,1,Check-Out,7/21/2017
City Hotel,0,8,2016,June,26,19,1.0,0,2,0,0,HB,PRT,Complementary,Direct,0,0,0,G,G,0,No Deposit,14.0,0,Transient,0.0,0,1,Check-Out,6/20/2016
City Hotel,0,0,2015,November,46,9,1.0,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Contract,106.0,0,1,Check-Out,11/13/2015
Resort Hotel,1,169,2016,October,41,4,0.0,5,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,94.5,0,0,Canceled,5/14/2016
City Hotel,0,21,2016,December,52,20,2.0,5,2,0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,88.4,0,1,Check-Out,12/27/2016
Resort Hotel,0,1,2015,December,49,2,0.0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,94.5,0,1,Check-Out,12/3/2015
City Hotel,0,301,2016,July,31,30,1.0,1,2,0,0,HB,BIH,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,90.0,0,0,Check-Out,8/1/2016
City Hotel,0,15,2017,February,7,13,1.0,2,2,0,0,HB,NGA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,83.0,0,Transient,126.4,0,0,Check-Out,2/16/2017
City Hotel,0,86,2017,May,18,2,0.0,3,2,0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,97.02,0,1,Check-Out,5/5/2017
City Hotel,1,75,2016,July,29,11,1.0,1,2,0,0,BB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,123.3,0,0,Canceled,5/9/2016
Resort Hotel,1,103,2017,January,4,22,4.0,6,2,0,0,BB,TUR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,86.0,0,0,Canceled,12/13/2016
Resort Hotel,1,150,2016,November,46,10,2.0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314.0,0,Transient,30.24,0,0,Canceled,7/22/2016
City Hotel,0,316,2016,May,22,26,0.0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,0,Transient-Party,100.0,0,0,Check-Out,5/29/2016
City Hotel,0,32,2016,July,28,4,1.0,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14.0,0,Transient,65.0,0,1,Check-Out,7/6/2016
Resort Hotel,0,173,2016,July,31,25,2.0,5,2,0,0,HB,ROU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,11.0,0,Transient,195.75,0,0,Check-Out,8/1/2016
Resort Hotel,0,43,2017,January,4,27,2.0,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,I,0,No Deposit,240.0,0,Transient-Party,0.0,0,1,Check-Out,2/1/2017
City Hotel,0,236,2017,July,27,4,0.0,3,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,B,B,0,No Deposit,16.0,0,Transient-Party,80.1,0,0,Check-Out,7/7/2017
City Hotel,0,296,2016,September,39,21,0.0,4,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,0,Transient-Party,117.0,0,1,Check-Out,9/25/2016
City Hotel,0,0,2016,October,42,13,0.0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,F,K,0,No Deposit,14.0,0,Transient,0.0,0,0,Check-Out,10/13/2016
City Hotel,0,255,2017,March,13,30,0.0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,70.66,0,2,Check-Out,4/2/2017
City Hotel,0,125,2016,April,16,12,0.0,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,0,Transient,99.45,0,0,Check-Out,4/17/2016
Resort Hotel,0,159,2015,August,33,10,3.0,6,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,0,Transient-Party,147.6,0,1,Check-Out,8/23/2015
City Hotel,0,148,2016,July,30,19,0.0,5,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,79.2,0,1,Check-Out,7/24/2016
City Hotel,0,31,2017,May,20,14,2.0,1,2,0,0,BB,DEU,Groups,Corporate,0,0,0,A,A,0,No Deposit,366.5,0,Transient-Party,130.0,0,0,Check-Out,5/17/2017
City Hotel,0,162,2015,September,38,17,0.0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,0,Transient-Party,70.0,0,0,Check-Out,9/20/2015
City Hotel,1,44,2016,February,8,17,0.0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44.0,0,Transient,75.0,0,0,Canceled,1/16/2016
City Hotel,1,179,2016,July,27,1,0.0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,65.0,0,0,Canceled,5/10/2016
City Hotel,0,79,2017,January,4,26,0.0,1,2,0,0,BB,POL,Groups,TA/TO,0,0,0,A,A,0,No Deposit,14.0,0,Transient-Party,85.0,0,0,Check-Out,1/27/2017
Resort Hotel,0,1,2016,October,45,30,2.0,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,66.0,0,1,Check-Out,11/1/2016
City Hotel,0,80,2016,November,45,4,1.0,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,94.6,0,1,Check-Out,11/7/2016
City Hotel,0,14,2016,November,48,25,0.0,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,14.0,0,Transient-Party,76.0,0,0,Check-Out,11/26/2016
City Hotel,0,53,2017,June,24,15,2.0,5,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,140.0,0,1,Check-Out,6/22/2017
City Hotel,0,7,2015,August,36,31,1.0,5,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,75.0,0,0,Check-Out,9/6/2015
City Hotel,1,59,2017,February,8,19,2.0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,83.0,0,Transient,164.8,0,0,Canceled,2/16/2017
City Hotel,0,127,2016,November,45,2,1.0,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,94.5,0,2,Check-Out,11/7/2016
City Hotel,0,0,2016,April,17,18,1.0,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14.0,0,Transient,65.0,0,0,Check-Out,4/19/2016
City Hotel,0,4,2015,November,48,23,1.0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,0,Transient-Party,70.0,0,0,Check-Out,11/26/2015
City Hotel,0,9,2017,March,10,7,0.0,2,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,118.0,0,0,Check-Out,3/9/2017
Resort Hotel,0,201,2015,September,38,19,2.0,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,2.0,0,Transient,100.93,0,0,Check-Out,9/26/2015
Resort Hotel,0,60,2015,August,33,11,0.0,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,0,Transient,188.0,0,0,Check-Out,8/15/2015
City Hotel,0,5,2016,March,13,21,1.0,1,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,89.0,0,1,Check-Out,3/23/2016
City Hotel,0,94,2016,April,18,28,0.0,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,94.5,0,0,Check-Out,4/30/2016
Resort Hotel,0,0,2016,February,8,18,0.0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,0,Transient,65.0,0,0,Check-Out,2/19/2016
Resort Hotel,0,6,2016,December,50,6,0.0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,104.0,0,Transient,41.4,0,0,Check-Out,12/7/2016
City Hotel,0,65,2017,March,11,16,1.0,3,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,91.8,0,0,Check-Out,3/20/2017
City Hotel,1,151,2017,May,19,13,2.0,2,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,14.0,0,Transient,95.0,0,0,Canceled,12/13/2016
Resort Hotel,0,9,2017,July,29,21,0.0,2,2,0,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,0,Transient,195.75,0,0,Check-Out,7/23/2017
City Hotel,1,374,2017,March,13,30,0.0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,62.0,0,0,Canceled,10/21/2015
City Hotel,1,4,2016,September,40,26,1.0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,147.0,0,Transient-Party,98.1,0,0,Canceled,9/23/2016
City Hotel,1,131,2017,July,30,25,0.0,3,2,0,0,BB,KOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,130.5,0,0,Canceled,4/25/2017
City Hotel,0,122,2016,August,32,2,0.0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,9.0,0,Transient,118.8,0,1,Check-Out,8/5/2016
Resort Hotel,1,64,2017,July,29,20,1.0,3,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,366.5,0,Transient,135.0,0,0,Canceled,6/9/2017
City Hotel,0,10,2017,January,1,7,2.0,3,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,0,Transient,109.82,0,2,Check-Out,1/12/2017
Resort Hotel,0,49,2015,October,44,28,2.0,5,2,0,0,HB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,69.76,0,1,Check-Out,11/4/2015
City Hotel,1,168,2016,April,17,22,1.0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,26.0,0,Transient,85.0,0,0,Canceled,1/22/2016
City Hotel,0,1,2015,August,36,30,2.0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,114.0,0,0,Check-Out,9/3/2015
City Hotel,0,31,2017,June,26,27,0.0,1,2,0,0,BB,JPN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,94.5,0,2,Check-Out,6/28/2017
City Hotel,0,29,2017,March,11,14,0.0,4,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,0,Transient,68.0,0,0,Check-Out,3/18/2017
City Hotel,1,148,2015,August,32,5,0.0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,76.5,0,0,Canceled,7/24/2015
City Hotel,0,3,2016,August,32,1,1.0,1,2,0,0,SC,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,94.5,0,1,Check-Out,8/3/2016
City Hotel,1,10,2016,January,3,15,0.0,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,87.0,0,1,Canceled,1/10/2016
City Hotel,0,16,2015,September,39,25,2.0,4,2,0,0,BB,FIN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,0,Transient,170.0,0,0,Check-Out,10/1/2015
Resort Hotel,0,64,2016,September,40,30,2.0,4,2,0,0,BB,RUS,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,244.0,0,Transient,105.77,0,0,Check-Out,10/6/2016
City Hotel,1,3,2016,November,46,12,0.0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,14.0,0,Transient,75.0,0,1,Canceled,11/12/2016
City Hotel,0,50,2017,February,5,3,0.0,2,2,0,0,SC,DEU,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,0,Transient,78.0,0,0,Check-Out,2/5/2017
City Hotel,1,266,2017,May,18,3,0.0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,58.0,0,Transient,100.0,0,0,Canceled,3/9/2017
City Hotel,1,74,2015,September,38,18,0.0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,0,Transient-Party,101.5,0,0,Canceled,7/6/2015
City Hotel,1,12,2015,November,48,23,1.0,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,86.5,0,0,No-Show,11/23/2015
City Hotel,0,63,2016,May,19,7,0.0,1,2,0,0,BB,NLD,Direct,Direct,0,0,0,F,G,0,No Deposit,14.0,0,Transient,193.5,0,1,Check-Out,5/8/2016
City Hotel,0,133,2017,April,16,19,0.0,4,2,0,0,BB,ISL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,366.5,0,Transient-Party,124.0,0,0,Check-Out,4/23/2017
City Hotel,1,146,2017,July,28,11,0.0,1,2,0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,125.1,0,0,Canceled,6/27/2017
City Hotel,1,292,2015,August,32,5,0.0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient-Party,62.0,0,0,Canceled,7/2/2015
City Hotel,1,139,2017,June,24,12,1.0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20.0,0,Transient,110.0,0,0,Canceled,1/24/2017
City Hotel,0,4,2015,August,35,25,0.0,4,2,0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,0,Transient-Party,62.0,0,0,Check-Out,8/29/2015
City Hotel,1,30,2016,June,23,2,0.0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,235.0,0,Transient,94.5,0,0,Canceled,5/3/2016
City Hotel,1,175,2017,May,20,19,1.0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,12.0,0,Transient,110.0,0,0,Canceled,11/25/2016
City Hotel,1,299,2015,August,33,12,0.0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient-Party,62.0,0,0,Canceled,7/2/2015
Resort Hotel,0,47,2017,March,12,20,1.0,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,91.0,0,Transient-Party,48.5,0,0,Check-Out,3/25/2017
City Hotel,0,160,2017,June,25,19,1.0,3,2,0,0,HB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,0,Transient,159.5,0,0,Check-Out,6/23/2017
City Hotel,0,120,2017,April,16,17,1.0,4,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,108.0,0,2,Check-Out,4/22/2017
Resort Hotel,0,57,2016,July,28,8,0.0,2,2,0,0,BB,IND,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,0,Transient,190.0,0,0,Check-Out,7/10/2016
City Hotel,1,286,2016,October,44,28,0.0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,65.0,0,0,Canceled,9/20/2016
Resort Hotel,0,122,2017,July,30,23,2.0,5,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,195.75,0,1,Check-Out,7/30/2017
City Hotel,0,111,2016,July,30,23,2.0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,139.5,0,1,Check-Out,7/28/2016
City Hotel,1,34,2017,March,10,11,2.0,1,2,0,0,HB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,159.33,0,0,Canceled,2/10/2017
